# BUSCO version is: 5.5.0 
# The lineage dataset is: ascomycota_odb10 (Creation date: 2020-09-10, number of genomes: 365, number of BUSCOs: 1706)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
377at4890	Complete	scaffold_3:4181495-4194657	4181495	4194657	+	4774.5	3415	https://www.orthodb.org/v10?query=377at4890	Dynein heavy chain
504at4890	Complete	scaffold_7:2687754-2697418	2687754	2697418	+	3693.8	2579	https://www.orthodb.org/v10?query=504at4890	Vacuolar protein sorting-associated protein
1372at4890	Complete	scaffold_7:2942835-2955302	2942835	2955302	-	2471.7	2274	https://www.orthodb.org/v10?query=1372at4890	E3 ubiquitin ligase, domain of unknown function DUF908
1627at4890	Complete	scaffold_1:4540350-4547879	4540350	4547879	+	3813.4	1973	https://www.orthodb.org/v10?query=1627at4890	Pre-mRNA-processing-splicing factor 8
1691at4890	Complete	scaffold_1:3847418-3854015	3847418	3854015	+	3210.2	1715	https://www.orthodb.org/v10?query=1691at4890	Glutamate synthase
1872at4890	Complete	scaffold_5:1705749-1712745	1705749	1712745	+	3221.5	1770	https://www.orthodb.org/v10?query=1872at4890	Acetyl-CoA carboxylase
1902at4890	Complete	scaffold_7:2781021-2787037	2781021	2787037	-	1569.7	1421	https://www.orthodb.org/v10?query=1902at4890	Proteasome activator subunit 4
2239at4890	Complete	scaffold_8:1109793-1117130	1109793	1117130	+	2744.0	1775	https://www.orthodb.org/v10?query=2239at4890	FKBP12-rapamycin binding domain
2241at4890	Complete	scaffold_2:1176695-1191503	1176695	1191503	+	4660.2	3676	https://www.orthodb.org/v10?query=2241at4890	Midasin
2629at4890	Complete	scaffold_1:2530187-2542163	2530187	2542163	-	4195.2	2940	https://www.orthodb.org/v10?query=2629at4890	PIK-related kinase
2653at4890	Complete	scaffold_8:963995-971224	963995	971224	-	1038.4	911	https://www.orthodb.org/v10?query=2653at4890	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
3339at4890	Complete	scaffold_8:2799941-2807256	2799941	2807256	+	654.4	642	https://www.orthodb.org/v10?query=3339at4890	THO complex subunit 2
3444at4890	Complete	scaffold_4:484127-491959	484127	491959	+	1848.2	1751	https://www.orthodb.org/v10?query=3444at4890	Armadillo-type fold
3488at4890	Complete	scaffold_5:1932883-1942985	1932883	1942985	-	2854.6	2048	https://www.orthodb.org/v10?query=3488at4890	Ribosomal protein L19
3557at4890	Complete	scaffold_2:4455368-4461831	4455368	4461831	+	1706.4	1487	https://www.orthodb.org/v10?query=3557at4890	Phosphatidylinositol 3-/4-kinase, catalytic domain
3995at4890	Complete	scaffold_3:1468128-1473723	1468128	1473723	-	2077.7	1409	https://www.orthodb.org/v10?query=3995at4890	DNA-directed RNA polymerase subunit
4161at4890	Complete	scaffold_5:2993344-2998971	2993344	2998971	-	381.2	549	https://www.orthodb.org/v10?query=4161at4890	Dbl homology (DH) domain
4344at4890	Complete	scaffold_5:461902-468425	461902	468425	-	789.1	604	https://www.orthodb.org/v10?query=4344at4890	Zinc finger, CCHC-type
4479at4890	Complete	scaffold_5:3560786-3565587	3560786	3565587	+	1878.4	1155	https://www.orthodb.org/v10?query=4479at4890	Nitrite/Sulfite reductase ferredoxin-like domain
4961at4890	Complete	scaffold_1:4125601-4133092	4125601	4133092	-	1142.1	885	https://www.orthodb.org/v10?query=4961at4890	Phosphatidylinositol-4-phosphate 5-kinase, core
5198at4890	Complete	scaffold_3:4276433-4281454	4276433	4281454	+	1291.2	1028	https://www.orthodb.org/v10?query=5198at4890	Sec7 domain
5330at4890	Complete	scaffold_8:1636249-1641532	1636249	1641532	-	1332.1	1036	https://www.orthodb.org/v10?query=5330at4890	Paired amphipathic helix
5596at4890	Complete	scaffold_3:2643645-2653210	2643645	2653210	+	1019.1	796	https://www.orthodb.org/v10?query=5596at4890	Chromo domain
6019at4890	Complete	scaffold_2:2789528-2794286	2789528	2794286	-	1679.3	1045	https://www.orthodb.org/v10?query=6019at4890	Glycogen debranching enzyme
6263at4890	Complete	scaffold_8:708452-715261	708452	715261	-	2905.1	1809	https://www.orthodb.org/v10?query=6263at4890	DNA polymerase epsilon catalytic subunit
6355at4890	Complete	scaffold_4:3156498-3160330	3156498	3160330	-	1699.6	929	https://www.orthodb.org/v10?query=6355at4890	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
6990at4890	Complete	scaffold_7:2031086-2036518	2031086	2036518	+	2251.5	1296	https://www.orthodb.org/v10?query=6990at4890	Clathrin heavy chain
7497at4890	Complete	scaffold_4:2704654-2709126	2704654	2709126	+	911.2	825	https://www.orthodb.org/v10?query=7497at4890	Transcription elongation factor Spt6
7647at4890	Complete	scaffold_1:4343683-4349198	4343683	4349198	-	877.9	1181	https://www.orthodb.org/v10?query=7647at4890	Ras GTPase activating protein
8339at4890	Complete	scaffold_2:1619735-1623847	1619735	1623847	-	1086.4	916	https://www.orthodb.org/v10?query=8339at4890	Rapamycin-insensitive companion of mTOR, domain 4
8345at4890	Complete	scaffold_1:4732239-4736440	4732239	4736440	+	1497.9	1035	https://www.orthodb.org/v10?query=8345at4890	Sterol 3-beta-glucosyltransferase
8502at4890	Complete	scaffold_7:2801568-2806033	2801568	2806033	-	1256.5	860	https://www.orthodb.org/v10?query=8502at4890	L-aminoadipate-semialdehyde dehydrogenase
8809at4890	Complete	scaffold_3:3970320-3976196	3970320	3976196	-	2201.7	1417	https://www.orthodb.org/v10?query=8809at4890	SNF2-related, N-terminal domain
8846at4890	Complete	scaffold_1:5877933-5882645	5877933	5882645	+	1150.0	977	https://www.orthodb.org/v10?query=8846at4890	Nucleoporin, Nup133/Nup155-like, C-terminal
9309at4890	Complete	scaffold_4:2402927-2407997	2402927	2407997	-	1726.1	1317	https://www.orthodb.org/v10?query=9309at4890	DNA polymerase
9453at4890	Complete	scaffold_6:671297-675515	671297	675515	+	346.4	278	https://www.orthodb.org/v10?query=9453at4890	Kinase
9673at4890	Complete	scaffold_1:2465694-2469779	2465694	2469779	-	1497.4	929	https://www.orthodb.org/v10?query=9673at4890	Phosphoribosylformylglycinamidine synthase
9707at4890	Complete	scaffold_5:3022350-3026317	3022350	3026317	-	1100.4	773	https://www.orthodb.org/v10?query=9707at4890	Rho GTPase activation protein
9929at4890	Complete	scaffold_3:3829689-3834142	3829689	3834142	-	1020.7	907	https://www.orthodb.org/v10?query=9929at4890	Pleckstrin homology domain
10358at4890	Complete	scaffold_5:3723984-3729575	3723984	3729575	+	1642.1	1367	https://www.orthodb.org/v10?query=10358at4890	nucleic acid-binding protein
10480at4890	Complete	scaffold_8:2707377-2712426	2707377	2712426	+	1183.2	1087	https://www.orthodb.org/v10?query=10480at4890	Protein kinase
10555at4890	Complete	scaffold_4:2688536-2694811	2688536	2694811	+	1113.1	830	https://www.orthodb.org/v10?query=10555at4890	Anaphase-promoting complex subunit 1
10728at4890	Complete	scaffold_5:2622058-2628526	2622058	2628526	-	1421.1	1426	https://www.orthodb.org/v10?query=10728at4890	Armadillo-type fold
10795at4890	Complete	scaffold_3:3125815-3129686	3125815	3129686	-	1321.3	860	https://www.orthodb.org/v10?query=10795at4890	Exportin-1
10872at4890	Complete	scaffold_8:2334890-2339955	2334890	2339955	+	1982.4	1293	https://www.orthodb.org/v10?query=10872at4890	Myosin-2
10917at4890	Complete	scaffold_1:2168239-2174484	2168239	2174484	+	819.4	964	https://www.orthodb.org/v10?query=10917at4890	Histone transcription regulator 3
