# BUSCO version is: 5.5.0 
# The lineage dataset is: ascomycota_odb10 (Creation date: 2020-09-10, number of genomes: 365, number of BUSCOs: 1706)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
377at4890	Complete	scaffold_13:172356-185518	172356	185518	-	4774.5	3415	https://www.orthodb.org/v10?query=377at4890	Dynein heavy chain
504at4890	Complete	scaffold_1:1171969-1181633	1171969	1181633	-	3693.8	2579	https://www.orthodb.org/v10?query=504at4890	Vacuolar protein sorting-associated protein
1372at4890	Complete	scaffold_1:914122-926589	914122	926589	+	2471.7	2274	https://www.orthodb.org/v10?query=1372at4890	E3 ubiquitin ligase, domain of unknown function DUF908
1627at4890	Complete	scaffold_5:329687-337216	329687	337216	+	3813.4	1973	https://www.orthodb.org/v10?query=1627at4890	Pre-mRNA-processing-splicing factor 8
1691at4890	Complete	scaffold_20:113030-119627	113030	119627	+	3210.2	1715	https://www.orthodb.org/v10?query=1691at4890	Glutamate synthase
1872at4890	Complete	scaffold_15:496361-503357	496361	503357	-	3221.5	1770	https://www.orthodb.org/v10?query=1872at4890	Acetyl-CoA carboxylase
1902at4890	Complete	scaffold_1:1082392-1088408	1082392	1088408	+	1569.7	1421	https://www.orthodb.org/v10?query=1902at4890	Proteasome activator subunit 4
2239at4890	Complete	scaffold_8:1108531-1115868	1108531	1115868	+	2744.0	1775	https://www.orthodb.org/v10?query=2239at4890	FKBP12-rapamycin binding domain
2241at4890	Complete	scaffold_1:5637956-5652764	5637956	5652764	-	4660.2	3676	https://www.orthodb.org/v10?query=2241at4890	Midasin
2629at4890	Complete	scaffold_2:2507415-2519391	2507415	2519391	-	4195.2	2940	https://www.orthodb.org/v10?query=2629at4890	PIK-related kinase
2653at4890	Complete	scaffold_8:962996-970225	962996	970225	-	1038.4	911	https://www.orthodb.org/v10?query=2653at4890	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
3339at4890	Complete	scaffold_9:1197884-1205199	1197884	1205199	+	654.4	642	https://www.orthodb.org/v10?query=3339at4890	THO complex subunit 2
3444at4890	Complete	scaffold_6:1853954-1861786	1853954	1861786	-	1848.2	1751	https://www.orthodb.org/v10?query=3444at4890	Armadillo-type fold
