#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	75.5108	4559471	0.4994	99.9982	4559389	1160305	1160322	0.5013	75	13.21
scaffold_2	75.2885	4016352	0.4857	99.9507	4014370	1014715	1015021	0.4901	75	14.06
scaffold_3	76.3987	3717899	0.5022	99.9777	3717070	958972	959156	0.5021	76	15.50
scaffold_4	95.3128	3489566	0.4948	100.0000	3489566	1121246	1121308	0.5119	75	437.56
scaffold_5	75.9273	2590403	0.5047	99.9998	2590399	663670	663781	0.5045	76	12.98
scaffold_6	75.7332	2476856	0.5000	99.9996	2476847	633264	633269	0.5009	75	13.14
scaffold_7	75.6621	2064234	0.4993	99.9644	2063499	527169	527060	0.5003	75	13.33
scaffold_8	76.0966	1931348	0.5034	100.0000	1931348	496170	496258	0.5038	76	13.04
scaffold_9	75.0547	1834277	0.4921	99.8834	1832139	461844	461762	0.4965	75	14.47
scaffold_10	76.3243	1638084	0.4979	100.0000	1638084	420613	420546	0.4999	76	13.17
scaffold_11	75.3863	1250146	0.4854	99.9993	1250137	317760	317706	0.4892	75	13.88
scaffold_12	76.3552	1240093	0.4954	99.9998	1240091	319652	319699	0.4963	76	13.18
scaffold_13	75.3698	1104787	0.4828	99.6136	1100518	278618	278581	0.4904	76	14.88
scaffold_14	75.2544	1070426	0.5028	99.0561	1060322	271832	271807	0.5032	76	15.25
scaffold_15	73.8500	847074	0.4793	100.0000	847074	211145	211114	0.4854	74	14.20
scaffold_16	75.9488	662475	0.4899	99.9256	661982	169903	169892	0.4923	76	13.63
scaffold_17	81.3759	483492	0.4900	99.9630	483313	133103	133000	0.4923	76	28.85
scaffold_18	83.9334	344736	0.5000	98.0069	337865	97583	97666	0.4998	77	39.54
scaffold_19	75.0428	336580	0.4856	99.4533	334740	85120	85102	0.4954	76	16.33
scaffold_20	73.1398	273178	0.4476	100.0000	273178	67457	67454	0.4604	74	15.33
scaffold_21	78.0023	259235	0.4920	98.7008	255867	68235	68261	0.4925	76	25.54
scaffold_22	77.6419	235179	0.5021	97.7966	229997	61559	61610	0.5012	75	34.12
scaffold_23	64.2001	233865	0.3496	99.2855	232194	50561	50603	0.3611	64	16.21
scaffold_24	63.5198	186725	0.3815	93.5381	174659	38555	38465	0.4038	67	23.52
scaffold_25	64.9093	174949	0.5055	92.4269	161700	38296	38286	0.5016	72	36.04
scaffold_26	70.9345	128346	0.5025	92.9449	119291	30723	30735	0.5019	74	29.64
scaffold_27	61.1056	109513	0.4943	89.8323	98378	22564	22558	0.4904	70	29.73
scaffold_28	72.0740	92426	0.4899	89.9714	83157	22347	22416	0.4870	74	41.19
scaffold_29	0.0000	92220	0.4818	0.0000	0	0	0	0.0000	0	0.00
scaffold_30	0.0000	88603	0.4725	0.0000	0	0	0	0.0000	0	0.00
scaffold_31	72.3605	83229	0.5001	93.9733	78213	20266	20274	0.4984	75	35.66
scaffold_32	65.3586	81942	0.5129	89.7879	73574	18041	18030	0.5123	73	31.77
scaffold_33	0.0000	80632	0.4843	0.0000	0	0	0	0.0000	0	0.00
scaffold_34	57.1625	80585	0.5033	81.8800	65983	15557	15556	0.5054	69	39.05
scaffold_35	0.0000	78014	0.4850	0.0000	0	0	0	0.0000	0	0.00
scaffold_36	71.9338	77785	0.4999	93.4113	72660	18880	18868	0.5028	73	37.52
scaffold_37	0.0020	75585	0.4773	0.1998	151	1	0	0.4702	0	0.04
scaffold_38	0.0000	75251	0.4811	0.0000	0	0	0	0.0000	0	0.00
scaffold_39	0.0000	63572	0.4786	0.0000	0	0	0	0.0000	0	0.00
scaffold_40	56.4818	62635	0.5076	83.0510	52019	11924	11891	0.5063	66	41.05
scaffold_41	43.7800	62149	0.5008	73.9642	45968	9164	9176	0.4977	61	38.31
scaffold_42	45.7600	59084	0.1764	97.2158	57439	8998	8915	0.1817	46	14.12
scaffold_43	66.2106	58493	0.5032	91.8093	53702	13068	13070	0.5001	73	26.20
scaffold_44	56.4339	56552	0.4964	84.5257	47801	10771	10767	0.4882	70	34.74
scaffold_45	51.9872	55692	0.5152	89.7939	50008	9694	9725	0.5102	63	32.30
scaffold_46	0.0000	54937	0.4548	0.0000	0	0	0	0.0000	0	0.00
