#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	74.9717	4980735	0.4940	100.0000	4980735	1260780	1260701	0.4977	75	13.75
scaffold_2	75.7799	4796280	0.4985	100.0000	4796280	1226927	1227156	0.4999	76	13.30
scaffold_3	75.4036	4225474	0.4910	100.0000	4225474	1075106	1075311	0.4940	75	13.69
scaffold_4	86.6234	4200017	0.4941	99.9857	4199415	1230344	1227092	0.5052	75	321.55
scaffold_5	74.9214	4104203	0.4873	99.9998	4104194	1037532	1037623	0.4919	75	14.00
scaffold_6	75.6211	3908258	0.4938	100.0000	3908258	997881	997876	0.4959	75	15.96
scaffold_7	75.2818	3476103	0.4953	99.7240	3466508	883032	882957	0.4985	75	14.27
scaffold_8	74.6996	3367118	0.4863	100.0000	3367118	849194	849429	0.4920	75	14.19
scaffold_9	74.9797	2650154	0.4918	100.0000	2650154	670719	670860	0.4958	75	13.80
scaffold_10	77.5765	526755	0.4970	99.7331	525349	138214	138249	0.4977	76	22.06
scaffold_11	75.8714	351518	0.4928	98.3446	345699	89920	89924	0.4930	76	23.92
scaffold_12	80.4919	339991	0.4975	100.0000	339991	92373	92408	0.4971	76	26.87
scaffold_13	83.0669	283529	0.4889	99.8998	283245	79482	79485	0.4908	77	31.97
scaffold_14	70.1009	251854	0.5024	96.1708	242210	59590	59593	0.5032	73	33.85
scaffold_15	66.8743	169763	0.5015	91.2378	154888	38300	38255	0.5009	72	34.57
scaffold_16	68.7156	132703	0.5078	97.3135	129138	30688	30670	0.5064	73	27.32
scaffold_17	58.1642	97859	0.5116	91.9813	90012	19129	19150	0.5090	67	30.11
scaffold_18	73.6461	96814	0.4994	84.2957	81610	24001	24049	0.4877	73	56.02
scaffold_19	46.3577	62233	0.5009	65.9473	41041	9731	9721	0.4942	62	41.75
scaffold_20	45.0068	47946	0.4788	74.1063	35531	7272	7279	0.4908	61	36.65
scaffold_21	1726.4348	31311	0.2649	100.0000	31311	182787	182737	0.2698	1739	223.57
scaffold_22	0.0162	27907	0.4900	1.6161	451	0	3	0.4989	0	0.13
scaffold_23	0.0210	21461	0.4867	2.1015	451	0	3	0.5322	0	0.14
scaffold_24	18.5905	21248	0.4978	71.1408	15116	1320	1320	0.5164	1	29.72
scaffold_25	55.7388	11574	0.2937	100.0000	11574	2154	2192	0.3070	55	13.80
scaffold_26	70.5099	8202	0.5032	100.0000	8202	1944	1962	0.5012	71	11.58
scaffold_27	0.0272	5547	0.5030	2.7222	151	1	0	0.4702	0	0.16
scaffold_28	1761.3848	5452	0.5596	100.0000	5452	31713	33737	0.5283	97	3253.39
scaffold_29	8850.2671	2523	0.5533	100.0000	2523	78534	73336	0.5586	9869	2813.48
scaffold_30	1.2019	525	0.4971	25.3333	133	3	3	0.6195	0	2.19
