#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	75.5465	4559418	0.4994	99.9982	4559336	1160313	1160336	0.5013	75	13.22
scaffold_2	75.3001	4016325	0.4857	99.9528	4014428	1014616	1014920	0.4901	75	14.05
scaffold_3	76.3977	3717880	0.5022	99.9777	3717051	958970	959138	0.5021	76	15.50
scaffold_4	95.3492	3489564	0.4948	100.0000	3489564	1121297	1121350	0.5119	75	437.56
scaffold_5	75.9279	2590389	0.5047	99.9998	2590385	663668	663794	0.5045	76	12.98
scaffold_6	75.7306	2476866	0.5000	99.9996	2476857	633248	633243	0.5009	75	13.13
scaffold_7	75.6395	2064220	0.4993	99.9566	2063324	527070	526934	0.5003	75	13.39
scaffold_8	76.0815	1931334	0.5034	100.0000	1931334	496174	496257	0.5038	76	13.04
scaffold_9	74.7913	1834235	0.4920	99.8834	1832097	461753	461679	0.4966	75	14.60
scaffold_10	76.2041	1638012	0.4979	100.0000	1638012	420561	420481	0.4999	76	13.29
scaffold_11	75.3867	1250139	0.4854	99.9993	1250130	317765	317705	0.4892	75	13.88
scaffold_12	76.3535	1240104	0.4954	99.9998	1240102	319649	319695	0.4963	76	13.18
scaffold_13	75.4547	1104776	0.4827	99.6109	1100477	278643	278574	0.4904	76	14.90
scaffold_14	75.2529	1070433	0.5028	99.0561	1060329	271827	271801	0.5032	76	15.25
scaffold_15	73.8480	847075	0.4793	100.0000	847075	211141	211107	0.4854	74	14.20
scaffold_16	75.9481	662477	0.4899	99.9256	661984	169902	169890	0.4923	76	13.63
scaffold_17	81.4684	483494	0.4900	99.9630	483315	133254	133162	0.4923	76	29.05
scaffold_18	83.9512	344719	0.5000	98.0050	337842	97552	97759	0.4999	77	39.90
scaffold_19	75.0355	336578	0.4856	99.4426	334702	85111	85092	0.4955	76	16.35
scaffold_20	73.1404	273175	0.4476	100.0000	273175	67460	67455	0.4604	74	15.34
scaffold_21	78.0183	259232	0.4920	98.7008	255864	68251	68275	0.4925	76	25.55
scaffold_22	77.6460	235180	0.5021	97.7808	229961	61559	61616	0.5013	75	34.24
scaffold_23	64.2025	233863	0.3496	99.2855	232192	50563	50605	0.3611	64	16.21
scaffold_24	64.1822	186720	0.3815	93.5379	174654	38604	38502	0.4035	68	23.73
scaffold_25	64.7008	174950	0.5055	92.3555	161576	38156	38164	0.5017	72	35.81
scaffold_26	70.9269	128340	0.5025	92.9445	119285	30718	30733	0.5019	74	29.64
scaffold_27	61.1084	109514	0.4943	89.9693	98529	22567	22557	0.4904	70	29.72
scaffold_28	72.3606	92389	0.4899	89.9902	83141	22437	22531	0.4870	74	41.79
scaffold_29	0.0000	92220	0.4818	0.0000	0	0	0	0.0000	0	0.00
scaffold_30	0.0000	88603	0.4725	0.0000	0	0	0	0.0000	0	0.00
scaffold_31	72.1152	83235	0.5002	93.9965	78238	20144	20168	0.4983	75	36.52
scaffold_32	65.3603	81942	0.5129	89.8013	73585	18042	18030	0.5123	73	31.77
scaffold_33	0.0000	80632	0.4843	0.0000	0	0	0	0.0000	0	0.00
scaffold_34	57.1700	80585	0.5033	81.8800	65983	15559	15558	0.5054	69	39.06
scaffold_35	0.0000	78014	0.4850	0.0000	0	0	0	0.0000	0	0.00
scaffold_36	71.9089	77796	0.5000	93.3853	72650	18884	18852	0.5028	73	37.62
scaffold_37	0.0020	75585	0.4773	0.1998	151	1	0	0.4702	0	0.04
scaffold_38	0.0000	75251	0.4811	0.0000	0	0	0	0.0000	0	0.00
scaffold_39	0.0000	63572	0.4786	0.0000	0	0	0	0.0000	0	0.00
scaffold_40	56.2503	62636	0.5077	83.1710	52095	11872	11834	0.5056	66	41.22
scaffold_41	43.8370	62149	0.5008	73.9642	45968	9180	9184	0.4977	61	38.44
scaffold_42	45.7688	59083	0.1764	97.2158	57438	9000	8920	0.1817	46	14.13
scaffold_43	66.0721	58492	0.5032	92.1835	53920	13032	13044	0.5002	73	26.27
scaffold_44	56.4534	56552	0.4964	84.5257	47801	10771	10776	0.4881	70	34.81
scaffold_45	51.9709	55692	0.5152	89.7939	50008	9690	9723	0.5102	63	32.30
scaffold_46	0.0000	54937	0.4548	0.0000	0	0	0	0.0000	0	0.00
scaffold_47	0.0000	50155	0.4867	0.0000	0	0	0	0.0000	0	0.00
scaffold_48	0.0000	48995	0.4796	0.0000	0	0	0	0.0000	0	0.00
scaffold_49	0.0000	43647	0.4738	0.0000	0	0	0	0.0000	0	0.00
scaffold_50	0.0000	43151	0.4726	0.0000	0	0	0	0.0000	0	0.00
scaffold_51	263.9129	42224	0.5204	72.7027	30698	37425	37434	0.4839	5	1329.70
scaffold_52	0.0000	40780	0.4796	0.0000	0	0	0	0.0000	0	0.00
scaffold_53	0.0000	39010	0.4813	0.0000	0	0	0	0.0000	0	0.00
scaffold_54	0.0000	38149	0.4656	0.0000	0	0	0	0.0000	0	0.00
scaffold_55	0.0000	37520	0.4872	0.0000	0	0	0	0.0000	0	0.00
scaffold_56	0.0000	32754	0.4846	0.0000	0	0	0	0.0000	0	0.00
scaffold_57	1727.1097	31299	0.2650	100.0000	31299	182780	182673	0.2697	1738	223.14
scaffold_58	40.9389	30466	0.1612	84.9143	25870	3864	3824	0.1637	45	22.91
scaffold_59	0.0000	30229	0.4770	0.0000	0	0	0	0.0000	0	0.00
scaffold_60	0.0000	28109	0.4796	0.0000	0	0	0	0.0000	0	0.00
scaffold_61	0.0000	19758	0.4698	0.0000	0	0	0	0.0000	0	0.00
scaffold_62	0.0000	4904	0.4800	0.0000	0	0	0	0.0000	0	0.00
