#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	58.8767	6136931	0.4965	100.0000	6136931	1222503	1222463	0.4999	59	12.14
scaffold_2	58.5032	4972231	0.4957	100.0000	4972231	983807	983636	0.4996	58	12.23
scaffold_3	58.3876	4856940	0.4947	100.0000	4856940	959453	959593	0.4998	58	12.46
scaffold_4	58.1057	4183511	0.4891	100.0000	4183511	822544	822444	0.4943	58	12.43
scaffold_5	57.6372	4154066	0.4793	99.9995	4154046	809916	809952	0.4893	58	13.34
scaffold_6	68.0288	3981493	0.4875	99.9997	3981483	917989	914804	0.5044	58	258.91
scaffold_7	58.6356	3870621	0.4934	99.9922	3870321	767792	767706	0.4987	59	12.57
scaffold_8	57.8308	3290895	0.4870	100.0000	3290895	643540	643556	0.4951	58	13.15
scaffold_9	1018.5312	32385	0.2647	100.0000	32385	111487	111483	0.2712	1019	173.41
scaffold_10	2043.3175	8076	0.5597	100.0000	8076	58044	55220	0.5571	79	3051.31
