#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	74.9718	4980542	0.4940	100.0000	4980542	1260764	1260666	0.4977	75	13.75
scaffold_2	75.7744	4796065	0.4985	100.0000	4796065	1226903	1227142	0.4999	76	13.30
scaffold_3	75.4028	4225364	0.4910	100.0000	4225364	1075091	1075293	0.4940	75	13.69
scaffold_4	86.6406	4199874	0.4941	99.9857	4199272	1230446	1227178	0.5052	75	321.56
scaffold_5	74.9129	4103995	0.4873	99.9998	4103986	1037501	1037594	0.4919	75	14.00
scaffold_6	75.6205	3908117	0.4938	100.0000	3908117	997859	997848	0.4959	75	15.96
scaffold_7	75.2809	3475999	0.4953	99.7240	3466404	883020	882946	0.4985	75	14.27
scaffold_8	74.6981	3366973	0.4863	100.0000	3366973	849174	849403	0.4920	75	14.19
scaffold_9	74.9783	2650051	0.4919	100.0000	2650051	670699	670847	0.4958	75	13.80
scaffold_10	77.5752	526741	0.4970	99.7376	525359	138213	138245	0.4977	76	22.07
scaffold_11	75.8859	351498	0.4928	98.3445	345679	89923	89950	0.4931	76	23.94
scaffold_12	80.4451	339981	0.4975	100.0000	339981	92377	92413	0.4971	76	26.88
scaffold_13	83.0788	283514	0.4889	99.8998	283230	79495	79490	0.4908	77	31.98
scaffold_14	70.0188	251852	0.5025	96.1696	242205	59521	59528	0.5031	73	33.99
scaffold_15	66.7949	169824	0.5016	91.1962	154873	38253	38214	0.5008	72	34.61
scaffold_16	68.7496	132702	0.5078	97.3866	129234	30703	30685	0.5064	73	27.36
scaffold_17	58.1562	97856	0.5116	91.9811	90009	19128	19146	0.5091	67	30.11
scaffold_18	73.3053	96828	0.4995	84.0924	81425	23885	23936	0.4877	73	56.12
scaffold_19	46.3518	62226	0.5009	65.9435	41034	9730	9720	0.4942	62	41.75
scaffold_20	45.3645	47951	0.4787	75.4541	36181	7330	7336	0.4907	60	36.35
scaffold_21	1727.0951	31300	0.2650	100.0000	31300	182775	182722	0.2697	1739	223.59
scaffold_22	0.0162	27907	0.4900	1.6161	451	0	3	0.4989	0	0.13
scaffold_23	0.0210	21461	0.4867	2.1015	451	0	3	0.5322	0	0.14
scaffold_24	18.5905	21248	0.4978	71.1408	15116	1320	1320	0.5164	1	29.72
scaffold_25	55.7309	11570	0.2938	100.0000	11570	2154	2191	0.3070	55	13.80
scaffold_26	70.5099	8202	0.5032	100.0000	8202	1944	1962	0.5012	71	11.58
scaffold_27	0.0272	5547	0.5030	2.7222	151	1	0	0.4702	0	0.16
scaffold_28	1761.3848	5452	0.5596	100.0000	5452	31713	33737	0.5283	97	3253.39
scaffold_29	8850.2671	2523	0.5533	100.0000	2523	78534	73336	0.5586	9869	2813.48
scaffold_30	1.2019	525	0.4971	25.3333	133	3	3	0.6195	0	2.19
