#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	58.8776	6137164	0.4965	100.0000	6137164	1222526	1222497	0.4999	59	12.14
scaffold_2	58.5039	4972404	0.4957	100.0000	4972404	983830	983648	0.4996	58	12.23
scaffold_3	58.3890	4857108	0.4947	100.0000	4857108	959482	959626	0.4998	58	12.46
scaffold_4	58.1069	4183659	0.4891	100.0000	4183659	822562	822468	0.4943	58	12.43
scaffold_5	57.6379	4154191	0.4793	99.9995	4154171	809931	809968	0.4893	58	13.34
scaffold_6	68.0290	3981587	0.4875	99.9997	3981577	918002	914810	0.5044	58	258.90
scaffold_7	58.6366	3870736	0.4934	99.9924	3870440	767813	767726	0.4987	59	12.57
scaffold_8	57.8322	3291039	0.4870	100.0000	3291039	643563	643575	0.4951	58	13.14
scaffold_9	1018.0801	32403	0.2645	100.0000	32403	111497	111493	0.2712	1018	173.41
scaffold_10	2043.3445	8076	0.5597	100.0000	8076	58044	55221	0.5571	79	3051.27
