#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	58.8113	6827489	0.4979	100.0000	6827489	1355288	1355489	0.5011	59	11.94
scaffold_2	59.4668	3625448	0.5010	99.9898	3625078	729262	729246	0.5024	59	11.79
scaffold_3	58.9039	2279424	0.5024	99.9988	2279397	454036	454099	0.5037	58	11.73
scaffold_4	58.2388	2005808	0.4845	99.9767	2005341	393392	393394	0.4937	58	13.04
scaffold_5	59.1016	1923114	0.5028	100.0000	1923114	384585	384526	0.5026	59	11.39
scaffold_6	58.5721	1893821	0.4938	99.9279	1892456	375167	375091	0.4978	59	12.45
scaffold_7	57.9582	1876513	0.4864	99.9803	1876143	367716	367558	0.4942	58	13.20
scaffold_8	59.5168	1604300	0.5011	99.9461	1603435	322429	322387	0.5015	59	11.80
scaffold_9	56.4130	1486115	0.4734	99.5987	1480151	280561	280554	0.4888	57	14.61
scaffold_10	59.3374	1312554	0.4982	99.9936	1312470	263259	263251	0.5009	59	12.18
scaffold_11	59.5106	1228925	0.5039	99.9972	1228890	247369	247356	0.5047	59	11.66
scaffold_12	59.7695	1172367	0.4948	100.0000	1172367	237035	236981	0.4957	59	11.47
scaffold_13	59.0089	1135381	0.5034	99.9751	1135098	226673	226615	0.5058	59	12.32
scaffold_14	69.5821	863948	0.4797	100.0000	863948	203147	202113	0.5073	58	288.47
scaffold_15	56.0504	862110	0.4609	100.0000	862110	160851	160795	0.4804	57	14.14
scaffold_16	55.2408	769947	0.4659	99.4637	765818	143648	143671	0.4863	57	15.13
scaffold_17	58.0109	731446	0.4978	99.7301	729472	143638	143613	0.5007	58	12.42
scaffold_18	59.7145	596125	0.5064	100.0000	596125	120497	120527	0.5068	60	11.48
scaffold_19	58.5404	481240	0.5009	98.5020	474031	95040	95021	0.5043	59	14.52
scaffold_20	58.7325	476215	0.4992	99.9981	476206	94647	94612	0.5033	59	12.06
scaffold_21	58.1264	472128	0.4937	99.9443	471865	92856	92815	0.4961	58	11.89
scaffold_22	59.6304	451328	0.4933	100.0000	451328	90986	90990	0.4941	59	11.69
scaffold_23	59.2625	348228	0.5042	100.0000	348228	69804	69800	0.5047	59	11.26
scaffold_24	55.0964	244122	0.4701	99.9676	244043	45330	45310	0.4879	57	14.69
scaffold_25	53.8644	214458	0.4522	99.9590	214370	39083	39042	0.4777	55	15.94
scaffold_26	55.8677	100603	0.4519	100.0000	100603	18959	19159	0.4645	56	15.12
scaffold_27	27.1523	74561	0.1607	98.8184	73680	6790	6753	0.1665	28	10.46
scaffold_28	43.7961	66481	0.3387	96.2516	63989	9715	9734	0.3879	45	19.41
scaffold_29	33.8202	64427	0.2087	97.4126	62760	6482	6473	0.2167	34	14.49
scaffold_30	42.7419	49158	0.3128	99.4975	48911	6976	6945	0.3723	42	17.13
scaffold_31	24.2742	47750	0.1559	93.7885	44784	3784	3772	0.1612	26	11.80
scaffold_32	45.1103	41600	0.3391	99.9976	41599	6308	6302	0.4064	44	20.45
scaffold_33	28.4449	32175	0.1591	96.9355	31189	2868	2851	0.1718	26	14.85
scaffold_34	1025.0457	29120	0.2684	100.0000	29120	100011	100246	0.2747	1024	174.16
scaffold_35	42.1774	24423	0.3795	92.7445	22651	3508	3464	0.4528	49	25.77
scaffold_36	26.1682	16204	0.1671	96.4577	15630	1430	1420	0.1698	27	13.33
scaffold_37	47.6585	11588	0.3058	100.0000	11588	1817	1832	0.3260	48	18.59
