#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	58.7551	6828106	0.4979	100.0000	6828106	1355419	1355689	0.5010	58	12.02
scaffold_2	59.4504	3625773	0.5010	99.9946	3625578	729385	729385	0.5023	59	11.82
scaffold_3	58.8949	2279577	0.5024	99.9988	2279550	454051	454158	0.5037	58	11.72
scaffold_4	58.1810	2006047	0.4844	99.9967	2005980	393500	393482	0.4937	58	13.14
scaffold_5	59.1130	1923220	0.5028	100.0000	1923220	384625	384570	0.5026	59	11.39
scaffold_6	58.6014	1894057	0.4938	99.9364	1892852	375279	375221	0.4978	59	12.40
scaffold_7	57.9653	1876748	0.4863	99.9786	1876346	367757	367639	0.4942	58	13.21
scaffold_8	59.5323	1604434	0.5011	99.9461	1603569	322533	322512	0.5015	59	11.79
scaffold_9	56.3514	1486415	0.4734	99.5822	1480205	280516	280506	0.4888	57	14.67
scaffold_10	59.3445	1312614	0.4982	99.9882	1312459	263306	263330	0.5008	59	12.17
scaffold_11	59.5134	1228975	0.5039	100.0000	1228975	247380	247376	0.5047	59	11.66
scaffold_12	59.7708	1172490	0.4947	100.0000	1172490	237042	237003	0.4957	59	11.45
scaffold_13	59.0163	1135454	0.5034	99.9755	1135176	226699	226652	0.5057	59	12.30
scaffold_14	69.6349	864014	0.4797	100.0000	864014	203179	202155	0.5073	58	288.46
scaffold_15	55.6452	862477	0.4608	100.0000	862477	160894	160840	0.4804	57	14.39
scaffold_16	55.2353	770038	0.4658	99.5118	766279	143659	143708	0.4863	57	15.14
scaffold_17	58.0316	731510	0.4978	99.6629	729044	143635	143629	0.5007	58	12.43
scaffold_18	59.7190	596178	0.5064	100.0000	596178	120514	120536	0.5068	60	11.48
scaffold_19	58.5548	481259	0.5009	98.4804	473946	95079	95054	0.5042	59	14.51
scaffold_20	58.7461	476259	0.4992	99.9981	476250	94691	94652	0.5031	59	11.99
scaffold_21	58.1457	472145	0.4937	99.9382	471853	92882	92849	0.4960	58	11.85
scaffold_22	59.6331	451350	0.4932	100.0000	451350	90991	90995	0.4941	59	11.69
scaffold_23	59.2696	348238	0.5042	100.0000	348238	69811	69814	0.5047	59	11.26
scaffold_24	55.1133	244164	0.4700	99.9676	244085	45348	45327	0.4878	57	14.66
scaffold_25	53.8645	214579	0.4522	99.9590	214491	39128	39079	0.4776	55	15.97
scaffold_26	55.9368	100664	0.4516	100.0000	100664	18985	19187	0.4642	56	15.09
scaffold_27	27.9333	74672	0.1606	98.8202	73791	6787	6761	0.1667	29	10.73
scaffold_28	44.0443	66522	0.3382	96.1562	63965	9766	9784	0.3867	46	19.21
scaffold_29	33.5826	64499	0.2087	96.5441	62270	6442	6440	0.2177	35	14.76
scaffold_30	42.2654	49199	0.3126	99.5284	48967	6986	6955	0.3719	42	17.49
scaffold_31	24.0186	47818	0.1566	93.0026	44472	3803	3790	0.1612	26	11.68
scaffold_32	44.7801	41669	0.3386	99.9904	41665	6271	6251	0.4081	44	20.77
scaffold_33	26.4254	32207	0.1589	94.9700	30587	2881	2882	0.1716	26	12.12
scaffold_34	1026.1069	29147	0.2685	100.0000	29147	100028	100288	0.2747	1025	173.18
scaffold_35	42.0314	24434	0.3796	91.8392	22440	3491	3453	0.4543	49	25.99
scaffold_36	25.3248	16212	0.1670	95.1887	15432	1382	1378	0.1701	26	13.31
scaffold_37	50.0787	11608	0.3053	100.0000	11608	1858	1863	0.3237	51	19.34
