# BUSCO version is: 5.5.0 
# The lineage dataset is: ascomycota_odb10 (Creation date: 2020-09-10, number of genomes: 365, number of BUSCOs: 1706)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
377at4890	Complete	scaffold_13:172357-185519	172357	185519	-	4774.5	3415	https://www.orthodb.org/v10?query=377at4890	Dynein heavy chain
504at4890	Complete	scaffold_1:1171843-1181507	1171843	1181507	-	3693.8	2579	https://www.orthodb.org/v10?query=504at4890	Vacuolar protein sorting-associated protein
1372at4890	Complete	scaffold_1:914013-926480	914013	926480	+	2471.7	2274	https://www.orthodb.org/v10?query=1372at4890	E3 ubiquitin ligase, domain of unknown function DUF908
1627at4890	Complete	scaffold_5:329645-337174	329645	337174	+	3813.4	1973	https://www.orthodb.org/v10?query=1627at4890	Pre-mRNA-processing-splicing factor 8
1691at4890	Complete	scaffold_20:113014-119611	113014	119611	+	3210.2	1715	https://www.orthodb.org/v10?query=1691at4890	Glutamate synthase
1872at4890	Complete	scaffold_15:496038-503034	496038	503034	-	3221.5	1770	https://www.orthodb.org/v10?query=1872at4890	Acetyl-CoA carboxylase
1902at4890	Complete	scaffold_1:1082276-1088292	1082276	1088292	+	1569.7	1421	https://www.orthodb.org/v10?query=1902at4890	Proteasome activator subunit 4
2239at4890	Complete	scaffold_8:1108457-1115794	1108457	1115794	+	2744.0	1775	https://www.orthodb.org/v10?query=2239at4890	FKBP12-rapamycin binding domain
2241at4890	Complete	scaffold_1:5637466-5652274	5637466	5652274	-	4660.2	3676	https://www.orthodb.org/v10?query=2241at4890	Midasin
2629at4890	Complete	scaffold_2:2507171-2519147	2507171	2519147	-	4195.2	2940	https://www.orthodb.org/v10?query=2629at4890	PIK-related kinase
2653at4890	Complete	scaffold_8:962926-970155	962926	970155	-	1038.4	911	https://www.orthodb.org/v10?query=2653at4890	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
3339at4890	Complete	scaffold_9:1197626-1204941	1197626	1204941	+	654.4	642	https://www.orthodb.org/v10?query=3339at4890	THO complex subunit 2
3444at4890	Complete	scaffold_6:1853721-1861553	1853721	1861553	-	1848.2	1751	https://www.orthodb.org/v10?query=3444at4890	Armadillo-type fold
3488at4890	Complete	scaffold_15:265840-275942	265840	275942	+	2854.6	2048	https://www.orthodb.org/v10?query=3488at4890	Ribosomal protein L19
3557at4890	Complete	scaffold_4:1489809-1496272	1489809	1496272	+	1706.4	1487	https://www.orthodb.org/v10?query=3557at4890	Phosphatidylinositol 3-/4-kinase, catalytic domain
3995at4890	Complete	scaffold_3:594993-600588	594993	600588	-	2077.7	1409	https://www.orthodb.org/v10?query=3995at4890	DNA-directed RNA polymerase subunit
4161at4890	Complete	scaffold_10:171293-176920	171293	176920	-	381.2	549	https://www.orthodb.org/v10?query=4161at4890	Dbl homology (DH) domain
4344at4890	Complete	scaffold_12:704232-710755	704232	710755	+	789.1	604	https://www.orthodb.org/v10?query=4344at4890	Zinc finger, CCHC-type
4479at4890	Complete	scaffold_10:738142-742943	738142	742943	+	1878.4	1155	https://www.orthodb.org/v10?query=4479at4890	Nitrite/Sulfite reductase ferredoxin-like domain
4961at4890	Complete	scaffold_20:391184-398675	391184	398675	-	1142.1	885	https://www.orthodb.org/v10?query=4961at4890	Phosphatidylinositol-4-phosphate 5-kinase, core
5198at4890	Complete	scaffold_13:85693-90714	85693	90714	-	1291.2	1028	https://www.orthodb.org/v10?query=5198at4890	Sec7 domain
5330at4890	Complete	scaffold_9:34220-39503	34220	39503	-	1332.1	1036	https://www.orthodb.org/v10?query=5330at4890	Paired amphipathic helix
5596at4890	Complete	scaffold_3:1769315-1778880	1769315	1778880	+	1020.5	792	https://www.orthodb.org/v10?query=5596at4890	Chromo domain
6019at4890	Complete	scaffold_1:4035893-4040651	4035893	4040651	+	1679.3	1045	https://www.orthodb.org/v10?query=6019at4890	Glycogen debranching enzyme
6263at4890	Complete	scaffold_8:707685-714494	707685	714494	-	2905.1	1809	https://www.orthodb.org/v10?query=6263at4890	DNA polymerase epsilon catalytic subunit
6355at4890	Complete	scaffold_7:210804-214636	210804	214636	-	1699.6	929	https://www.orthodb.org/v10?query=6355at4890	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
6990at4890	Complete	scaffold_1:1832559-1837991	1832559	1837991	-	2251.5	1296	https://www.orthodb.org/v10?query=6990at4890	Clathrin heavy chain
7497at4890	Complete	scaffold_16:522239-526711	522239	526711	+	911.2	825	https://www.orthodb.org/v10?query=7497at4890	Transcription elongation factor Spt6
7647at4890	Complete	scaffold_5:133040-138555	133040	138555	-	877.9	1181	https://www.orthodb.org/v10?query=7647at4890	Ras GTPase activating protein
8339at4890	Complete	scaffold_1:5205377-5209489	5205377	5209489	+	1086.4	916	https://www.orthodb.org/v10?query=8339at4890	Rapamycin-insensitive companion of mTOR, domain 4
8345at4890	Complete	scaffold_5:520153-524354	520153	524354	+	1497.9	1035	https://www.orthodb.org/v10?query=8345at4890	Sterol 3-beta-glucosyltransferase
8502at4890	Complete	scaffold_1:1063280-1067745	1063280	1067745	+	1256.5	860	https://www.orthodb.org/v10?query=8502at4890	L-aminoadipate-semialdehyde dehydrogenase
8809at4890	Complete	scaffold_13:390122-395998	390122	395998	+	2201.7	1417	https://www.orthodb.org/v10?query=8809at4890	SNF2-related, N-terminal domain
8846at4890	Complete	scaffold_5:1664383-1669095	1664383	1669095	+	1150.0	977	https://www.orthodb.org/v10?query=8846at4890	Nucleoporin, Nup133/Nup155-like, C-terminal
9309at4890	Complete	scaffold_16:220785-225855	220785	225855	-	1726.1	1317	https://www.orthodb.org/v10?query=9309at4890	DNA polymerase
9453at4890	Complete	scaffold_11:633410-637628	633410	637628	+	346.4	278	https://www.orthodb.org/v10?query=9453at4890	Kinase
9673at4890	Complete	scaffold_2:2442673-2446758	2442673	2446758	-	1497.4	929	https://www.orthodb.org/v10?query=9673at4890	Phosphoribosylformylglycinamidine synthase
9707at4890	Complete	scaffold_10:200256-204223	200256	204223	-	1100.4	773	https://www.orthodb.org/v10?query=9707at4890	Rho GTPase activation protein
9929at4890	Complete	scaffold_13:532063-536516	532063	536516	+	1020.7	907	https://www.orthodb.org/v10?query=9929at4890	Pleckstrin homology domain
10358at4890	Complete	scaffold_10:901009-906600	901009	906600	+	1642.1	1367	https://www.orthodb.org/v10?query=10358at4890	nucleic acid-binding protein
10480at4890	Complete	scaffold_9:1105539-1110588	1105539	1110588	+	1183.2	1087	https://www.orthodb.org/v10?query=10480at4890	Protein kinase
10555at4890	Complete	scaffold_16:506121-512396	506121	512396	+	1113.1	830	https://www.orthodb.org/v10?query=10555at4890	Anaphase-promoting complex subunit 1
10728at4890	Complete	scaffold_7:1432732-1439200	1432732	1439200	+	1421.1	1426	https://www.orthodb.org/v10?query=10728at4890	Armadillo-type fold
10795at4890	Complete	scaffold_3:2251320-2255191	2251320	2255191	-	1321.3	860	https://www.orthodb.org/v10?query=10795at4890	Exportin-1
10872at4890	Complete	scaffold_9:733029-738094	733029	738094	+	1982.4	1293	https://www.orthodb.org/v10?query=10872at4890	Myosin-2
10917at4890	Complete	scaffold_2:2145889-2152134	2145889	2152134	+	819.4	964	https://www.orthodb.org/v10?query=10917at4890	Histone transcription regulator 3
10962at4890	Complete	scaffold_1:3953487-3957289	3953487	3957289	+	1619.3	942	https://www.orthodb.org/v10?query=10962at4890	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
11266at4890	Complete	scaffold_3:1513760-1517922	1513760	1517922	-	917.6	735	https://www.orthodb.org/v10?query=11266at4890	MAP kinase kinase kinase
11622at4890	Complete	scaffold_17:136516-142327	136516	142327	-	1082.3	904	https://www.orthodb.org/v10?query=11622at4890	HECT domain
11641at4890	Complete	scaffold_21:39092-44647	39092	44647	-	889.9	827	https://www.orthodb.org/v10?query=11641at4890	Winged helix-like DNA-binding domain superfamily
11683at4890	Complete	scaffold_6:1874776-1878628	1874776	1878628	+	1569.6	968	https://www.orthodb.org/v10?query=11683at4890	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
11818at4890	Complete	scaffold_10:745366-749527	745366	749527	+	670.0	505	https://www.orthodb.org/v10?query=11818at4890	DNA-directed RNA polymerase
11820at4890	Complete	scaffold_2:867221-873162	867221	873162	+	1495.5	1067	https://www.orthodb.org/v10?query=11820at4890	Acyl-CoA ligase
11957at4890	Complete	scaffold_10:1107249-1110668	1107249	1110668	-	1730.8	944	https://www.orthodb.org/v10?query=11957at4890	DNA polymerase
12223at4890	Complete	scaffold_3:851750-857383	851750	857383	-	880.5	1157	https://www.orthodb.org/v10?query=12223at4890	Nucleoporin
13059at4890	Complete	scaffold_6:27086-30795	27086	30795	-	1127.8	683	https://www.orthodb.org/v10?query=13059at4890	Chitin synthase 4
13343at4890	Complete	scaffold_1:6410252-6415636	6410252	6415636	-	926.2	1146	https://www.orthodb.org/v10?query=13343at4890	tRNA (Cytidine(32)-2'-O)-methyltransferase non-catalytic subunit TRM732
13514at4890	Complete	scaffold_11:180197-183812	180197	183812	+	1277.6	769	https://www.orthodb.org/v10?query=13514at4890	DNA polymerase gamma
13724at4890	Complete	scaffold_1:2387078-2391299	2387078	2391299	+	641.9	830	https://www.orthodb.org/v10?query=13724at4890	Nucleoporin, Nup133/Nup155-like, C-terminal
