# BUSCO version is: 5.5.0 
# The lineage dataset is: ascomycota_odb10 (Creation date: 2020-09-10, number of genomes: 365, number of BUSCOs: 1706)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
377at4890	Complete	scaffold_3:4181637-4194799	4181637	4194799	+	4774.5	3415	https://www.orthodb.org/v10?query=377at4890	Dynein heavy chain
504at4890	Complete	scaffold_7:2687832-2697496	2687832	2697496	+	3693.8	2579	https://www.orthodb.org/v10?query=504at4890	Vacuolar protein sorting-associated protein
1372at4890	Complete	scaffold_7:2942922-2955389	2942922	2955389	-	2471.7	2274	https://www.orthodb.org/v10?query=1372at4890	E3 ubiquitin ligase, domain of unknown function DUF908
1627at4890	Complete	scaffold_1:4540539-4548068	4540539	4548068	+	3813.4	1973	https://www.orthodb.org/v10?query=1627at4890	Pre-mRNA-processing-splicing factor 8
1691at4890	Complete	scaffold_1:3847574-3854171	3847574	3854171	+	3210.2	1715	https://www.orthodb.org/v10?query=1691at4890	Glutamate synthase
1872at4890	Complete	scaffold_5:1705800-1712796	1705800	1712796	+	3221.5	1770	https://www.orthodb.org/v10?query=1872at4890	Acetyl-CoA carboxylase
1902at4890	Complete	scaffold_7:2781103-2787119	2781103	2787119	-	1569.7	1421	https://www.orthodb.org/v10?query=1902at4890	Proteasome activator subunit 4
2239at4890	Complete	scaffold_8:1109841-1117178	1109841	1117178	+	2744.0	1775	https://www.orthodb.org/v10?query=2239at4890	FKBP12-rapamycin binding domain
2241at4890	Complete	scaffold_2:1176750-1191558	1176750	1191558	+	4660.2	3676	https://www.orthodb.org/v10?query=2241at4890	Midasin
2629at4890	Complete	scaffold_1:2530282-2542258	2530282	2542258	-	4195.2	2940	https://www.orthodb.org/v10?query=2629at4890	PIK-related kinase
2653at4890	Complete	scaffold_8:964040-971269	964040	971269	-	1038.4	911	https://www.orthodb.org/v10?query=2653at4890	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
3339at4890	Complete	scaffold_8:2800060-2807375	2800060	2807375	+	654.4	642	https://www.orthodb.org/v10?query=3339at4890	THO complex subunit 2
3444at4890	Complete	scaffold_4:484130-491962	484130	491962	+	1848.2	1751	https://www.orthodb.org/v10?query=3444at4890	Armadillo-type fold
3488at4890	Complete	scaffold_5:1932938-1943040	1932938	1943040	-	2854.6	2048	https://www.orthodb.org/v10?query=3488at4890	Ribosomal protein L19
3557at4890	Complete	scaffold_2:4455525-4461988	4455525	4461988	+	1706.4	1487	https://www.orthodb.org/v10?query=3557at4890	Phosphatidylinositol 3-/4-kinase, catalytic domain
3995at4890	Complete	scaffold_3:1468190-1473785	1468190	1473785	-	2077.7	1409	https://www.orthodb.org/v10?query=3995at4890	DNA-directed RNA polymerase subunit
4161at4890	Complete	scaffold_5:2993453-2999080	2993453	2999080	-	381.2	549	https://www.orthodb.org/v10?query=4161at4890	Dbl homology (DH) domain
4344at4890	Complete	scaffold_5:461922-468445	461922	468445	-	789.1	604	https://www.orthodb.org/v10?query=4344at4890	Zinc finger, CCHC-type
4479at4890	Complete	scaffold_5:3560901-3565702	3560901	3565702	+	1878.4	1155	https://www.orthodb.org/v10?query=4479at4890	Nitrite/Sulfite reductase ferredoxin-like domain
4961at4890	Complete	scaffold_1:4125760-4133251	4125760	4133251	-	1142.1	885	https://www.orthodb.org/v10?query=4961at4890	Phosphatidylinositol-4-phosphate 5-kinase, core
5198at4890	Complete	scaffold_3:4276575-4281596	4276575	4281596	+	1291.2	1028	https://www.orthodb.org/v10?query=5198at4890	Sec7 domain
5330at4890	Complete	scaffold_8:1636317-1641600	1636317	1641600	-	1332.1	1036	https://www.orthodb.org/v10?query=5330at4890	Paired amphipathic helix
5596at4890	Complete	scaffold_3:2643743-2653308	2643743	2653308	+	1019.1	796	https://www.orthodb.org/v10?query=5596at4890	Chromo domain
6019at4890	Complete	scaffold_2:2789615-2794373	2789615	2794373	-	1679.3	1045	https://www.orthodb.org/v10?query=6019at4890	Glycogen debranching enzyme
6263at4890	Complete	scaffold_8:708481-715290	708481	715290	-	2905.1	1809	https://www.orthodb.org/v10?query=6263at4890	DNA polymerase epsilon catalytic subunit
6355at4890	Complete	scaffold_4:3156619-3160451	3156619	3160451	-	1699.6	929	https://www.orthodb.org/v10?query=6355at4890	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
6990at4890	Complete	scaffold_7:2031154-2036586	2031154	2036586	+	2251.5	1296	https://www.orthodb.org/v10?query=6990at4890	Clathrin heavy chain
7497at4890	Complete	scaffold_4:2704754-2709226	2704754	2709226	+	911.2	825	https://www.orthodb.org/v10?query=7497at4890	Transcription elongation factor Spt6
7647at4890	Complete	scaffold_1:4343854-4349369	4343854	4349369	-	877.9	1181	https://www.orthodb.org/v10?query=7647at4890	Ras GTPase activating protein
8339at4890	Complete	scaffold_2:1619802-1623914	1619802	1623914	-	1086.4	916	https://www.orthodb.org/v10?query=8339at4890	Rapamycin-insensitive companion of mTOR, domain 4
8345at4890	Complete	scaffold_1:4732434-4736635	4732434	4736635	+	1497.9	1035	https://www.orthodb.org/v10?query=8345at4890	Sterol 3-beta-glucosyltransferase
8502at4890	Complete	scaffold_7:2801650-2806115	2801650	2806115	-	1256.5	860	https://www.orthodb.org/v10?query=8502at4890	L-aminoadipate-semialdehyde dehydrogenase
8809at4890	Complete	scaffold_3:3970456-3976332	3970456	3976332	-	2201.7	1417	https://www.orthodb.org/v10?query=8809at4890	SNF2-related, N-terminal domain
